Michael Card,Will You Not Listen?
Tom Petty And The Heartbreakers,You Got Lucky
Radiohead,Let Down
The fFormula,Cold Blooded (Acid Cleanse)
Eric Church,How 'Bout You
David Lee Roth,Just A Gigolo / I Ain't Got Nobody (Album Version)
Brazilian Girls,Me Gustas Cuando Callas
Victor Manuelle,Por Ella
Little Boots,Meddle
Nickel Creek,Pastures New
Nightwish,Over The Hills And Far Away
Azure Ray,Other Than This World
The K Program,Electricity
Mikromusic,Moje Mieszkanie
Yung Joc,Its Going Down (feat. Dj Weedim Remix)
Snow Patrol,PPP
Gustavo Santaolalla,Walking In Tokyo
Don McLean,Winterwood
Operation Ivy,Unity
Anya Marina,Waters of March [águas de março] (Album Version)
Apocalyptica,Harmageddon
Panic At The Disco,Mad As Rabbits [Live In Chicago]
Atreyu,A Vampire's Lament (Album Version)
Phoenix,Lisztomania
La Mancha De Rolando,Donde Vamos
The Whitest Boy Alive,Intentions
Essential Logic,Moontown
Ray J,What I Need
keller williams,221
Little People,Intermezzo
Akon / Snoop Dogg,I Wanna Love You
Michael Bublé,Crazy Little Thing Called Love (Album Version)
Greenwheel,Shelter
Plan B,Traded In My Cigarettes
We The Kings featuring Demi Lovato,We'll Be A Dream (featuring Demi Lovato)
Karnivool,Themata
The Michael Schenker Group,Looking Out From Nowhere (2009 Digital Remaster)
Aventura,La boda
Shaggy / Samantha Cole,Luv Me_ Luv Me
Percy Sledge,When A Man Loves A Woman
Samsas Traum,&.dann leben wir noch heute!
Linda Ronstadt,Good - Bye  (LP Version)
Mickey 3D,J'ai Demande A La Lune (Live)
Imelda May,Love Tattoo
Interpol,Pioneer to The Falls
Julie London,You'd Be So Nice To Come Home To
La Unión,Más Y Más (Remix)
Kate Ryan,Only If I
SNAP!,The Power
M83,The Highest Journey
Bootsy Collins,Stretchin' Out (In A Rubber Band) (LP Version)
The Doors,Strange Days
Bear In Heaven,Ultimate Satisfaction
Justice,Phantom
Rise Against,The First Drop
Bear In Heaven,You Do You
Fonseca,Hace Tiempo
Disturbed,The Game (Amended Version)
Alex Gaudino Feat. Crystal Waters,Destination Calabria
Eli Young Band,Mystery In The Making
Lene Marlin,What If
Angelo Badalamenti,Jitterbug
Sarina Paris,Look At Us
Ozzy Osbourne,S.A.T.O.
Saliva,800
Usher,Trading Places
Badly Drawn Boy,Year Of The Rat
Michael Bublé,Home (Album Version)
Little People,Above The Clouds
Origin Unknown,Valley of the Shadows
The Gathering,The May Song (radio Edit)
Foo Fighters,Everlong
Downhere,A Better Way (Story Behind The Song)
Taylor Swift,The Best Day
Kajagoogoo,Too Shy
Tania Maria,Come With Me
Akron/Family,River
Hoobastank,The First Of Me
Calle 13,Sin Coro
Dream Evil,United
Cedric IM Brooks & The Light of Saba,Lambs Bread Collie
Anggun,Rien à écrire
Miles Davis,'Round Midnight
Avril Lavigne,I'm With You
Cabas,La Caderona
Chris Isaak,King Without A Castle (Album Version)
Shifty,Starry Eyed Surprise (Album Version)
Marina And The Diamonds,Oh No! (album version)
Fiona Apple,Better Version Of Me
Billy Bragg,Way Over Yonder In The Minor Key
Esthero,I Drive Alone
Melody Gardot,Les Etoiles
Randy Houser,Anything Goes
Johnny Kidd & The Pirates,Magic Of Love
Ok Go,Get Over It
Vanessa Hudgens,Amazed
Lights,February Air (Album Version)
The Devin Townsend Band,Triumph
Lifehouse,Easier To Be
Halou,Tubefed
Aerosmith,Dream On
Joshua Radin,Everything'll Be Alright (Will's Lullaby)
Joey Silvero,Sunday AM
Rilo Kiley,With Arms Outstretched (Album Version)
Capdown,Keeping Up Appearances
The Killers,Human
Black Moth Super Rainbow,Colorful Nickels
Metallica,Ronnie
Beginner,City Blues
Nicolas Repac,Negro Digital
JPL,Waking Up With You
FM Static,Girl Of The Year
Phish,Prince Caspian
The Audition,Ether (Album Version)
Capdown,Wind Up Toys
Phosphorescent,Permanently Lonely
Cat Stevens,The Laughing Apple
Los Wawanco,La Banda Borracha
Something Corporate,I Want To Save You
Otis Redding,(Sittin' On) The Dock Of The Bay
Rupa & the April Fishes,l'éléphant
Flyleaf,Cassie
La Polla Records,Chica Yeye
Weezer,Paperface
FM Static,Three Days Later (Fm Static Album Version)
Ashley Tisdale,We'll Be Together (Album Version)
Hatebreed,Set It Off (Madball)
Parkway Drive,Carrion
Ratos de Porão,Que Vergonha!
Steve Anderson,Air
The Verve,Lucky Man
Julia Fordham,I Thought It Was You
Sarina Paris,I Love You
Maldita Nerea,El Secreto De Las Tortugas
+44,Little Death
The Academy Is...,Attention (Album Version)
Flyleaf,In The Dark
Kruder & Dorfmeister,High Noon
Kato,Turn The Lights Off (Feat. Jon)
Feist,Tout doucement
No Te Va Gustar,Dejame Bailar
Pepper,Stormtrooper (LP Version)
Of Mice And Men,YDG
Vanessa Carlton,Pretty Baby
Alien Ant Farm,Glow
Pulser,My Religion
New Found Glory,the king of wishful thinking
Aloe Blacc,I Need A Dollar
FM Static,Take Me As I Am
Marilyn Manson,The Beautiful People
matchbox twenty,Can't Let You Go (Album Version)
Third World,1865 (96º In The Shade)
Audio Lotion,MonSoon
Static-X,The Only (Album Version)
The Crystals,He's A Rebel
Juno Reactor,Conga Fury
The Swinging Blue Jeans,Good Golly Miss Molly
Staind,Pardon Me (Album Version)
Danjela Ratkova / Ljudmila Ratkova / Snezana Borisova / Lidija Ljubenova,Cajesukarije Cocec
For Today,Never Lose Sight of The Goals
Michael Franks,Eggplant (Remastered Album Version)
LCD Soundsystem,New York_ I Love You But You're Bringing Me Down
Adoniran Barbosa / Part. Especial: Elis Regina_ Artista Gentilmente Cedido Pela Warner Music Brasil,Tiro Ao Álvaro
Gorillaz,Rockit
Gipsy Kings,Galaxia
Sun Kil Moon,Savador Sanchez
Kings Of Leon,Happy Alone
Rammstein,Du Riechst So Gut
Matt Costa,Vienna
Thrice,All The World Is Mad
Nick Cave & The Bad Seeds,The Curse Of Millhaven
Coldplay,A Whisper
Kylie Minogue,Better The Devil You Know (Showgirl Tour)
Stevie Wonder,You Are The Sunshine Of My Life
Me First And The Gimme Gimmes,Fire And Rain
Daft Punk,Voyager
Bertrand Burgalat,Sunshine Yellow
Tim Wilson,The Pyramids
John Mayer,War Of My Life
Blue Swede,Hooked On A Feeling
matchbox twenty,Real World  (LP Version)
112 / Jermaine Dupri,The Way
Big & Rich,Saved (Album Version)
Interpol,Say Hello To The Angels
Airbourne,Rattle Your Bones (Album Version)
Chelsea Grin,Cast from Perfection
Faith Hill And Tim McGraw,I Need You (Album Version)
Within Temptation,All I Need
Nine Inch Nails,Last
MIKA,Grace Kelly
Framing Hanley,Count Me In
Bon Iver,Skinny Love
Delerium feat. Sarah McLachlan,Silence
Blur,Metal Hip Slop (Graham's Bugman Remix)
Alec Empire,The Sun Hurts My Eyes
Blue October,You Make Me Smile
Thievery Corporation,The Richest Man In Babylon
Colbie Caillat,Bubbly
Genesis,The Lamia (Live)
Kaci Brown,Make You Love Me
Bayside,Guardrail (Album Version)
Stuck In The Sound,I Love You Dark
Franz Ferdinand,Eleanor Put Your Boots On
Motion City Soundtrack,Indoor Living (Album Version)
Streetlight Manifesto,Point/Counterpoint (Album Version)
Vikki Carr,Tunesmith
Colbie Caillat,Tied Down
As I Lay Dying,Anodyne Sea
Fireball Ministry,Fortunes (Bonus Track)
K-OS,The Rain
Immortal Technique,Industrial Revolution
Sia,Little Black Sandals
Dream Theater,A Nightmare To Remember (Album Version)
Ennio Morricone,Giocoso gioioso
As I Lay Dying,94 Hours
Loudermilk,Ash To Ash
Evergreen Terrace,Failure To Operate
Opeth,Den Standiga Resan (Album Version)
Operation Ivy,Here We Go Again
Erin McKeown,La Petite Mort
We Are The Fallen,Bury Me Alive
Tokio Hotel,Spring nicht
Weezer,Susanne
Moodorama,Eye-Land (Seasick rmx.)
Faithless,In The End
Céline Dion,Because You Loved Me
Daryle Singletary,The Real Deal (Album Version)
Nightwish,Nemo
The Sword,Lament for the Aurochs
Joshua Radin,They Bring Me To You
Max Richter,The Trees
Tommy James And The Shondells,It's Only Love Tryin' To Get Through
Insane Clown Posse,Out
Demi Lovato,So Far So Great
Mazzy Star,Blue Light
Gorillaz,Ghost Train
Stars,Heart
Camera Obscura,Lloyd_ I'm Ready To Be Heartbroken
Kings Of Leon,Manhattan
Crystal Castles,Love And Caring
Foo Fighters,Home
Dena DeRose,Be My Love
Charlie Brown Jr.,O Que Ela Gosta E De Barriga
Skindred,Trouble
Rise Against,To The Core
Killswitch Engage,My Last Serenade
Moodorama,Nakonda
Craig Chaquico,Kyle's World
The Mamas & The Papas,California Dreamin'
Hot Chip,Keep Quiet
Evanescence,Whisper
Rey Gordiflón,Buenos Dias
Melody Gardot,Our Love Is Easy
The Big Pink,Countbackwards From Ten
Finger Eleven,First Time
Falling Up,Broken Heart
Rammstein,AMOUR
The Starting Line,Ready
Calle 13 Feat. Rubén Blades Y La Chilinga,La Perla
Nirvana,Tourette's
Shakira,Did It Again (featuring Kid Cudi)
The Corrs,Queen Of Hollywood ( LP Version )
Sea Wolf,I Made A Resolution
Aberfeldy,Tie One On
Groundation,Mighty Souls
Dakota Oak,Baker's Blue Jay Yarn
Kimya Dawson,So Nice So Smart
Second Hand Serenade,Fall For You
Roger Miller,Kansas City Star
Jon Cutler featuring E-Man,It's Yours [Frankie Feliciano's Guitarapella]
Belle & Sebastian,Funny Little Frog
Four Tet,No More Mosquitoes
Camila,Coleccionista De Canciones
The Good Life,Inmates (Album Version)
Michael Franks,Soul Mate (Album Version)
Capdown,Home Is Where The Start Is
Pete Townshend,Forever's No Time At All
Dream Theater,Led Zeppelin Medley - The Rover / Achilles Last Stand / The Song Remains The Same [Live - "Uncovered" Version 1995]
Aimee Mann,Nothing Is Good Enough
Bebe,Siempre Me Quedará
Pantera,Regular People (Conceit) (LP Version)
Fischerspooner,Tone Poem
Heatmiser,See You Later
Secret Garden,Home
Bon Jovi,The One That Got Away
Brian Kennedy,Remember Me
Diana Krall / Christian McBride,Broadway
The Everly Brothers,Wake Up Little Suzie
Enya,Silver Inches
the bird and the bee,What's In The Middle
Lucho Gatica,LA PUERTA
Paul Kalkbrenner,Square 1
OutKast,God
Cut Copy,Saturdays
Donna Lewis,I Love You Always Forever ( LP Version )
Panic At The Disco,Nine In The Afternoon (Album Version)
Cake,Guitar
Neal McCoy,Heaven (LP Version)
Boys Like Girls,Five Minutes To Midnight
The All-American Rejects,Real World
The Game / 50 Cent,Hate It Or Love It
Emily Osment,Found Out About You
isis,The Beginning And The End
the bird and the bee,Ray Gun
The Wonders,All My Only Dreams
Exodus,Blacklist
PlayRadioPlay!,Even Fairy Tale Characters Would Be Jealous
Moloko,The Time Is Now (2006 Digital Remaster)
Annihilator,Phoenix Rising (Album Version)
Alison Krauss / Union Station,Union House Branch
Ava Inferi,Colours Of The Dark
The Airborne Toxic Event,The Girls In Their Summer Dresses
José González,Small Town Boy
Justice,Steamulation
Tears For Fears,Ashes To Ashes
Panic At The Disco,Nine In The Afternoon (Radio Mix)
John Farnham,You're The Voice
Queen Omega,Jah Army
Buckcherry,Lit Up
Interpol,Evil
Orbital,Satan [Industry Standard]
Starfield,I Will Go
Tristan Prettyman,Always Feel This Way
Circle Jerks,Wild in the Streets
Obituary,Forces Realign
Snooks Eaglin,Pine Top's Boogie Woogie
Harry Manx,Don't Forget To Miss Me
Tre Lux,Karma Police
Blur,Charmless Man
Rammstein,Laichzeit
Junior Kimbrough And The Soul Blues Boys,Lonesome In My Home
Weezer,Getchoo
Skillet,Should've When You Could've (Album Version)
Schweisser,Napalm
iio,Runaway (Original)
Fabian,Turn Me Loose
Three Drives,Greece 2000
Corinne Bailey Rae,Venus As A Boy (Q Covermount)
Atreyu,This Flesh A Tomb (Album Version)
Newton Faulkner,Lipstick Jungle
John Butler Trio,Better Than (Album Version)
Spoon,The Way We Get By
Lady GaGa,Speechless
Carl B,Cursed
Harry Chapin,Taxi  (LP Version)
Travis,Sing
Delphic,Counterpoint (Delphic's en route Mix)
Every Avenue,Mindset
James Morrison,You Make It Real
X,The Once Over Twice  (LP Version)
Slipknot,Before I Forget (Album Version)
Orquestra Hekàteros_ Companyia Lazzigags,Tot apunta a aquesta nit
Ludacris / Floyd Mayweather,Undisputed
matchbox twenty,Hand Me Down (Album Version)
Afro Celt Sound System,Release It (Instrumental)
Steve Goodman,Video Tape
Washed Out,Belong
The Housemartins,Caravan Of Love
Bread,Make It With You (LP Version)
Evanescence,Tourniquet
Yeah Yeah Yeahs,Miles Away
Britt Nicole,You
Darius Rucker,Don't Think I Don't Think About It
Opeth,Burden [Edit]
Five Finger Death Punch,My Own Hell
America,Honey
Shantel,Disko Partizani
Carlos Varela,Una Palabra
Motion City Soundtrack,Feel Like Rain (Album Version)
Tarkan,Simarik
Biffy Clyro,Many Of Horror
Go West,King Of Wishful Thinking
The Matches,Salty Eyes
Cliff Richard & The Shadows,Nine Times Out Of Ten (1998 Digital Remaster)
Aimee Mann,She Really Wants You
Tormenta,El Rebelde
Prince & The New Power Generation,Cream ( LP Version W/O Rap Monologue )
Amy Winehouse,Cupid
Pele,Safe Dolphin (Live Bonus Track) (LP Version)
Everly Brothers,('Til) I Kissed You
Thursday,Asleep In The Chapel
The String Cheese Incident,Bigger Isn't Better
Creedence Clearwater Revival,Have You Ever Seen The Rain
Fat Joe featuring R. Kelly_ T.I._ Lil Wayne_ Baby_ Rick Ross and Ace Mac,Make It Rain (Remix) (Explicit) (Feat. R. Kelly_ T.I._ Lil Wayne_ Baby_ Rick Ross and Ace Mac)
Antimatter,Leaving Eden
The Notorious B.I.G.,Suicidal Thoughts (Album Version)
Booka Shade,darko
Strawberry Switchblade,Since Yesterday
Loney_ Dear,I Will Call You Lover Again
Deftones,Passenger (LP Version)
Bloc Party,Song For Clay (Disappear Here)
Queens Of The Stone Age,God Is On The Radio
Rammstein,Weisses Fleisch
Doves,Caught By The River
Gwen Stefani,Hollaback Girl
Blue Rodeo,After the Rain
The Presidents of the United States of America,Stranger
The Notwist,Boneless
Children Of The Bong,Underwater Dub
Slipknot,Eyeless (Live version) (Album Version)
Justice,Waters Of Nazareth (album version)
59 Times the Pain,Found Home
Ladytron,Ghosts (Toxic Avenger Mix)
Lanae' Hale,Beautiful Things
DC Talk,Time Is ... (Free At Last 10th Anniversary Album Version)
JOHN COLTRANE,Dahomey Dance (LP Version)
Hawk Nelson,Hello
Taking Back Sunday,Liar [It Takes One To Know One] (Album Version)
Matt Nathanson,Princess
Nonpoint,The Same (album version)
Atreyu,Ex's And Oh's (LP Version)
The Veronicas,When It All Falls Apart [Live] (Album Version)
Leona Naess,Charm Attack
Aldebert,Le Bébé
Anouk,It's So Hard
Big Shug,It Just Don't Stop
Delain,Frozen (Album Version)
Boney M.,Rasputin
Guttermouth,She's Got The Look
X-Press 2,Give It
Hoobastank,To Be With You
Fonseca,Te Mando Flores
Secret Machines,I Hate Pretending (Album Version)
Muse,Screenager
Groundation,The Dragon
Ellie Goulding,Under The Sheets
Electric Wizard,Saturnine
Infected Mushroom,Artillery
Digitalism,ZDRLT (Rewind)
Pet Shop Boys,Always On My Mind/In My House (2001 Digital Remaster)
LCD Soundsystem,Great Release
Camera Obscura,Tears For Affairs
blessthefall,2.0
Geographer,Kites
Relient K,Jefferson Aeroplane [Demo]
We The Kings,Secret Valentine
The Dear Hunter,The Lake and the River
Electronicat,Tonight
Creedence Clearwater Revival,Long As I Can See The Light
Righteous Pigs,Crack Under Pressure
M83,Cyborg
Mark Knopfler,Rudiger
Chimaira,Try To Survive
The Airborne Toxic Event,Happiness Is Overrated
Orange Goblin,Jesus Beater
The All-American Rejects,Move Along
Codeine Velvet Club,Hollywood
Spook And The Guay,Carol
Ella Baila Sola,ELLA BAILA SOLA
Kid Creole & The Coconuts,My Male Curiosity
Rihanna,If It's Lovin' That You Want
Jazzamor,sai das trevas
High School Musical Cast/Zac Efron,Scream
Veronica Maggio,V för Vendetta
Roy Gates,I'Am The Music
Theory Of A Deadman,End Of The Summer
Fall Out Boy,Thnks fr th Mmrs
Primus,Coattails Of A Dead Man
Gwen Stefani,Luxurious
Five Iron Frenzy,Spartan
Coldplay,Til Kingdom Come
Bad Religion,Dearly Beloved (acoustic)
Daft Punk,Human After All
Flyleaf,Perfect
Dum Dum Girls,Yours Alone
Flyleaf,This Close
Limp Bizkit,Rollin' (Air Raid Vehicle)
Billy Currington,Good Directions
Behemoth,Slaying The Prophets Ov Isa
Rage Against The Machine,Bombtrack
Descendents,Catalina
The Brian Setzer Orchestra,Honey Man (An Adaptation Of Rimsky-Korsakov's "Flight Of The Bumblebee")
Alkaline Trio,Trucks And trains
Fort Minor (Featuring Kenna_ Jonah Matranga And Styles Of Beyond),Red To Black (Album Version)
Mischa Daniels,Another Place
Lil Rob,Summer Nights
Pantera,Drag The Waters (Remastered LP Version)
Foo Fighters,Learn To Fly
Orishas,Que Se Bote
Train,Marry Me
Moose,Uptown Invisible
Little People,Moon
Box Car Racer,I Feel So
Audioslave,I Am The Highway
Phil Collins,Two Worlds (Phil Version)
Massive Attack,Spying Glass
The Weepies,World Spins Madly On
Massive Attack,Paradise Circus (Gui Boratto Remix)
Raúl Midón,All In Your Mind
Melendi,Con La Luna Llena
KT Tunstall,Heal Over
Meg & Dia,Courage_ Robert (Album Version)
Carbon Silicon,Tell It Like It Is
NEEDTOBREATHE,We Could Run Away (Album Version)
Maroon 5,Won't Go Home Without You
Chris Brown featuring will.i.am,Picture Perfect
Small Faces,Understanding
The Whitest Boy Alive,Promise Less Or Do More
Tycho,The Disconnect
Mama's Jasje,Als De Dag Van Toen
Flunk,Heavenly
Jordin Sparks,Tattoo
As I Lay Dying,Bury Us All
Slayer,Postmortem
Tom Waits,Green Grass (Edinburgh - 07/27/08)
Rise Against,The Strength To Go On
Orishas,Nací Orishas
Fergie,Get Your Hands Up
A Day To Remember,You Had Me @ Hello
In Flames,Zombie Inc.
OneRepublic,All The Right Moves
matchbox twenty,Disease (Album Version)
Claude Vonstroke,The Whistler
Dance Gavin Dance,Strawberry André (Album Version)
Magnet,Lay Lady Lay
Drake / Kanye West / Lil Wayne / Eminem,Forever
Osker,Contention
Weird Al Yankovic,I'm So Sick Of You
Paramore,Hallelujah (Album Version)
Postal Service,This Place is a Prison (Album)
Orishas,Silencio
Ben Folds Five,Theme From Dr. Pyser
Wall Of Voodoo,Mexican Radio
Smile Empty Soul,Don't Ever Leave
Goldfrapp,Ride A White Horse
Green Day,My Generation (Album version)
Alesana,Tilting The Hourglass
Paramore,When It Rains (Album Version)
Something Corporate,Little
Hevia,El Saltón
Chuck Berry,Almost Grown
P.O.D.,Youth Of The Nation (2006 Remastered Album Version)
La Polla Records,El Congreso De Ratones
Townsend_ Devin,N9
Greenwheel,Louder Than Words
Erasure,Piano Song (Acoustic Union Street)
matchbox twenty,Girl Like That  (LP Version)
Mayer Hawthorne,Green Eyed Love
Fleet Foxes,False Knight On The Road
Miranda!,Tu misterioso alguien
Dead Prez & The Evil Genius DJ Green Lantern,$timulus Plan
Timbaland / Justin Timberlake / Nelly Furtado,Give It To Me
STRATOVARIUS,Years Go By
Shaggy,Boombastic
Carnal Forge,Sacred Flame
Angus & Julia Stone,Just A Boy
Katy Perry,Thinking Of You
The Velvet Underground,Lisa Says
Florence + The Machine,Hospital Beds
Eva Cassidy,Imagine (Album Version)
Choking Victim,Hate Yer State
Red,Death of Me
Catupecu Machu,Grandes Esperanzas
Darkest Hour,Low (Album Version)
Pet Shop Boys,New York City Boy
Apocalyptica,Ruska
Devendra Banhart,Samba Vexillographica
Scottish Chamber Orchestra/Jukka-Pekka Saraste,Symphony No. 39 in E flat major K543: IV.     Allegro
Headhunterz,Subsonic
She & Him,Sentimental Heart
Julian Marley,All I Know
Kelly Clarkson,Walk Away
Marla Glen,Love And Respect
Leon Russell,Act Naturally (Album Version)
Peter Cetera,One Good Woman (Album Version)
Weezer,El Scorcho
Fall Out Boy,Nobody Puts Baby In The Corner
Los Fabulosos Cadillacs,Silencio Hospital
Neko Case,Star Witness (Album Version)
Airbourne,Armed And Dangerous (Album Version)
Vanilla Ice,Ice Ice Baby (Radio Edit)
T.I.,Dead And Gone [feat. Justin Timberlake] (Explicit Album Version)
Bell X1,Rocky Took A Lover
Louis Bertignac,Vas-Y Guitare
Neri Per Caso,Viva la mamma
Thrice,In Exile
Ben Christophers,Devil To Kill
Lily Allen,Not Big
B-Tribe,Anika (featuring Luna)
Dir en grey,DOUKOKU TO SARINU
Angus & Julia Stone,And The Boys
Brad Paisley,Mud On The Tires
Alicia Keys,No One
Rage Against The Machine,The Ghost Of Tom Joad
VHS Or Beta,You Got Me
Temprees,Dedicated To The One I Love
Boss AC,Hip Hop (Sou Eu E És Tu)
As I Lay Dying,The Pain Of Separation
Five Finger Death Punch,Bulletproof
Jonny Lang,Touch
El Perro Del Mar,Somebody's Baby
Bayside,They're Not Horses They're Unicorns
Mat Kearney,Fire & Rain
Taproot,Birthday (Album Version)
Yma Sumac,Taki Rari (1999 Digital Remaster)
Moodorama,Walk on by
Ulrich Schnauss,Blumenwiese Neben Autobahn
Fleet Foxes,Meadowlarks
Chris Brown featuring Kanye West,Down
Lawrence Arabia,Apple Pie Bed
Shotta,El Justiciero
Matthews Southern Comfort,For Melanie
Ferrante & Teicher,The Music Lovers
The Cardigans,Erase / Rewind
Daft Punk,Superhereos
Meg & Dia,Nineteen Stars (Album Version)
Regina Spektor,Lady (Album Version)
Rihanna,Te Amo
Darius Rucker,All I Want
Cascada,A Never Ending Dream
Mos Def,Sex_ Love & Money
Carla Bruni,Promises Like Pie-Crust (Album)
Flying Lotus,...And The World Laughs With You ft. Thom Yorke
Eddie Holland,Jamie
U2,Hold Me_ Thrill Me_ Kiss Me_ Kill Me
Purple Schulz,Vermisst
Hawk Nelson,Arms Around Me
Sinead Lohan,No Mermaid (LP Version)
No Te Va Gustar,El Mismo Canal
Armored Saint,Isolation
Peter Cetera,Queen Of The Masquerade Ball
The Killers,Somebody Told Me
Ironik,Tiny Dancer [Hold Me Closer] [Feat. Chipmunk and Elton John] [Radio Edit]
Tenth Avenue North,Hold My Heart
Digitalism,Pogo
Nirvana,Where Did You Sleep Last Night
Bullet For My Valentine,Room 409
Panic At The Disco,She Had The World (Album Version)
Something Corporate,Not What It Seems
Showtek,Dominate
Hopesfall,Decoys Like Curves
Rich Boy,Touch That Ass
Sara Bareilles,Love Song
Josh Turner,Firecracker
Lhasa De Sela,Rising
David Banner,Play
Tea Leaf Green,Ride Together (Rock)
Liz Phair,Why Can't I? (Explicit)
Charles Wright,Express Yourself
Scooter,One (Always Hardcore) (Radio)
Social Distortion,Don't Take Me For Granted (Album)
Lily Allen,Littlest Things
Stone Temple Pilots,Dead & Bloated (LP Version)
Noir Désir,A La Longue
My Favorite Highway,Dreamer
Holly Brook,Saturdays
Of Mice And Men,WESTBOUND & DOWN
John Mayer,Clarity
matchbox twenty,Mad Season (LP Version)
No Te Va Gustar,Te Quiero Más
Tame Impala,Desire Be Desire Go
Built To Spill,Car (Album)
Limp Bizkit,Behind Blue Eyes
Selena Gomez & The Scene,I Got U
Hawthorne Heights,Niki Fm (Album Version)
Blink-182,Story Of A Lonely Guy
David Guetta,The World Is Mine
Phoenix,Girlfriend
Bill Wells & Maher Shalal Hash Baz,Banned Announcement
Q-Project,Champion Sound
Robert Palmer,Dreams Come True
Alter Bridge,Before Tomorrow Comes
Franz Ferdinand,No You Girls
Satish Vyas,Malkaus - Alap
Flyleaf,I'm So Sick
Peggy Zina,Ftes
Fall Out Boy,Disloyal Order Of Water Buffaloes
Abe Vigoda,Gates
Early Man,Fight
Jason Mraz,After An Afternoon (Eagles Ballroom Live Version)
Taylor Swift,I'm Only Me When I'm With You
A Day To Remember,Have Faith In Me
Charly García,Promesas Sobre El Bidet
Line Renaud,Un Amour D'été
Daryle Singletary,Ain't It The Truth (Album Version)
The Pebbles,(I Can't Explain) Gonna Tell Your Man
Cat Power,Dont Explain
M83,Waves_ Waves_ Waves
Robert Rodriguez,Grindhouse (Main Titles)
White Rabbits,Right Where They Left
Bon Jovi,You Give Love A Bad Name
Mylo,Emotion 98.6
Iron And Wine,Innocent Bones (Album)
Eliza Doolittle,Skinny Genes
Secondhand Serenade,The Last Song Ever
The Stone Roses,Elizabeth My Dear
Red Hot Chili Peppers,C'mon Girl (Album Version)
Little Joy,Dont Watch Me Dancing 
Telescopes_ The,Yeah
Cherish,Moment In Time
Louis Prima And Keely Smith,(Nothing's Too Good) For My Baby (1999 Digital Remaster)
Au Revoir Simone,Night Majestic
Dispatch,The General
Peggy Lee,Quiet Nights (Corcovado)
Nicolas Repac,Les Années Folles
Hot Chip,Slush
Jonny Lang,Turn Around
Muse,Map Of The Problematique
Framing Hanley,Alone In This Bed (Capeside)
Damian Marley / Stephen Marley / Black Thought,Pimpa's Paradise
The Police,Message In A Bottle
Emitt Rhodes,See No Evil
CSS,Let's Make Love And Listen To Death From Above [Dan Carey Mix] (remastered album version)
The Fleshtones,Shiney Hiney
Alain Clark,Live It Out (Album)
Citizen Kaned,Lost in Bass
Eminem,The Real Slim Shady
Michael Franks,Hourglass (Album Version)
Ryan Adams,Don't Even Know Her Name
Secret Garden,Cantoluna
The American Analog Set,Play hurt
Wamdue Project,King Of My Castle [Nicola Fasano & Steve Forest Dub Mix]
Jean Michel Jarre,Give me a sign
Bomfunk MC's,In Stereo
Nural,I've Been Here Before
Katie Melua,crawling up a hill
Justyna Steczkowska,Noc...
Ugly Kid Joe,Neighbor
Alexandre Desplat,Some Things You Never Forget
Blue October,Picking Up Pieces
Herman's Hermits,Leaning On A Lamp Post (2002 Digital Remaster)
Chris LeDoux,I'm Country
Soulja Slim,Wootay
Nirvana,Lithium
Sanctus Real,These Things Take Time
Nickel Creek,In The House Of Tom Bombadil
John Prine,In Spite of Ourselves
Foy Vance,Indiscriminate Act Of Kindness
Rage Against The Machine,Wake Up (Album Version)
Sick Puppies,Maybe
Vienna Teng,Shine
John Butler Trio,Betterman (full-length/album version)
Winds Of Plague,Anthems Of Apocalypse
Cat Stevens,Moonshadow
Emery,So Cold I Could See My Breath
Avril Lavigne,Complicated
Devendra Banhart,Little Yellow Spider
Blockhead,Triptych Pt. 2
Pat Benatar,We Belong
Whitney Houston Duet With Mariah Carey,When You Believe
Eric Johnson,Cliffs Of Dover
The Gunclub,Black Hole
Morten Breum,Domestic (feat. Nik & Jay)
Nik Kershaw,Wouldn't It Be Good
Hybrid,Sinequanon
Friendly Fires,Paris
My Chemical Romance,Welcome To The Black Parade (Album Version)
Bury Your Dead,Hurting Not Helping
ARRESTED DEVELOPMENT,Mr Wendal (Edit)
Röyksopp,The Girl and The Robot
Weezer,Pork And Beans
Keith Whitley,Don't Close Your Eyes
Chelsea Grin,Wasteland
P.O.S,Low Light Low Life
Capdown,If Money's Your Life
SKOLD vs. KMFDM,It's Not What
Poison,Body Talk
Mayday Parade,Just Say You're Not Into It
Creedence Clearwater Revival,Bad Moon Rising
Camille Jones Vs Fedde Le Grand,The Creeps
Weezer,(If You're Wondering If I Want You To) I Want You To
Puddle Of Mudd,Blurry
Demi Lovato,Gonna Get Caught
Tom Petty And The Heartbreakers,Don't Come Around Here No More
Elizeth Cardoso,Mulher Carioca
Nick Cave & The Bad Seeds,O'Malley's Bar
Simple Minds,Hunter And The Hunted (2002 Digital Remaster)
Linkin Park,Lying From You (Album Version)
Ray LaMontagne,Shelter
Eminem / Dr. Dre,Say What You Say
Melody Gardot,Worrisome Heart
The Asteroids Galaxy Tour,The Golden Age
Rise Against,Under The Knife
Atreyu,A Song For The Optimists (Album Version)
Train,If It's Love
The Cardigans,Carnival
Death Cab for Cutie,I Will Possess Your Heart  (Album Version)
FM Static,All The Days (Fm Static Album Version)
The Strokes,You Only Live Once
Tonya,Gelukkige Verjaardag
